Report Submission Source,Multiple Rows per Incident,Report Number,Carrier/Reporter Name,Incident Route,Incident City,Incident State,Date of Incident,Time of Incident,Quantity Released,Unit of Measure,Identification Number,Commodity Long Name,Hazardous Class,Total Hazmat Fatalities,Total Hazmat Hosp Injuries,Total Hazmat NonHosp Injuries,Total Amount of Damages,Shipper Name,Origin City,Origin State,Mode of Transportation,Identification Markings,Cont1 Material of Construction,Cont1 Packaging Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont2 Material of Construction,Cont2 Package Type,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,What Failed Description,How Failed Description,Failure Cause Description,Description of Events,HMIS Serious Incident Ind,HMIS Serious Bulk Release,HMIS Serious Evacuations,HMIS Serious Fatality,HMIS Serious Flight Plan,HMIS Serious Injury,HMIS Serious Major Artery,HMIS Serious Marine Pollutant,HMIS Serious Radioactive
Paper,No,I-1977020622,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,11/21/1976,,0,,UN1993,FLAMMABLE LIQUIDS  N.O.S.,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,U S GOVT - DOD,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1995100801,GRIFFITH ENERGY SERVICES  INC.,1629 K STREET NW,WASHINGTON,DC,10/11/1995,0500,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,12,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,,,1,1,,,,,,,,,,WHILE DELIVERING LOAD TO CUSTOMER'S TANK A SMALL SPILL OCCURRED.  OIL WAS REMOVED AND DISPOSED OF PROPERLY.,No,No,No,No,No,No,No,No,No
Paper,No,I-1999010603,GRIFFITH ENERGY SERVICES  INC.,2144  F ST NW,WASHINGTON,DC,01/13/1999,1630,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,1052,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3000,LGA,1,1,,,,,,,,,,SMALL OUTAGE OCCURRED DUE TO GAS CONVERSION WHERE PIPES WERE LEFT IN WALL. GEORGE WASHINGTON DID CLEAN UP.,No,No,No,No,No,No,No,No,No
Paper,No,I-1999020488,GRIFFITH ENERGY SERVICES  INC.,4646 40TH ST NW,WASHINGTON,DC,01/26/1999,1330,40,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,540,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2800,LGA,1,1,,,,,,,,,,Oil released out of an improperly installed explosion vent  spilling oil into a diked area. This was contained  cleaned up and properly disposed of.,No,No,No,No,No,No,No,No,No
Paper,No,I-2006020207,QUALITY CARRIERS  INC.,EXXON GAS STATION,WASHINGTON,DC,01/05/2006,0730,30,LGA,UN1203,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,KINDER MORGAN,WASHINGTON,DISTRICT OF COLUMBIA,Highway,DOT NUMBER: 306,,,3193,LGA,,,,,,,,,,,,THERE WAS APPROX 20-30 GALLONS OF GASOLINE SPILLED AT EXXON ON 1-5-06. THE SPILL WAS CLEANED UP WITH ABSORBANT KITTY LITTER AND VACCUMED UP.,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110171,STEUART PETROLEUM,,WASHINGTON,DC,03/05/1983,,2,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1996040120,ABF FREIGHT SYSTEM  INC.,50 IRVING ST NW,WASHINGTON,DC,03/08/1996,1300,0.50,LGA,UN1170,ETHANOL OR ETHYL ALCOHOL OR ETHANOL SOLUTIONS OR ETHYL ALCOHOL SOLUTIONS,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,50,PHARMCO PRODUCTS  INC.,BROOKFIELD,CONNECTICUT,Highway,,,,3,LGA,4,1,,,0.1250,LGA,96,14,Basic Material; Closure (e.g.  Cap  Top  or Plug); Basic Material,Cracked; Cracked; ,Improper Preparation for Transportation; Inadequate Blocking and Bracing; Abrasion,THIS SHIPMENT WAS OUT FOR DELIVERY WHEN ONE OF THE CARTONS WAS FOUND LEAKING.  THE LEAKING CARTON CONTAINED 24 GLASS BOTTLES WHICH WERE STACKED ON A PALLET  BUT WERE NOT SHRINK WRAPPED.  WHILE ENROUTE TO DESTINATION  THE CARTONS SHIFTED CAUSING ONE TO BECOME TILTED AND THE PLASTIC CAPS BREAK OPEN AND LEAK THE CONTENTS.  THE PRODUCT EVAPORATED.  THE CONSIGNEE ACCEPTED THE CONTAINERS THAT WERE NOT DAMAGED AND REFUSED THE LEAKING CONTAINERS.  WE WERE UNABLE TO GET ANY PACKAGING INFORMATION FROM THE CARTON THAT WAS RETURNED.  THE DOCKMAN WHICH LOADED THIS SHIPMENT FOR DELIVERY WILL HAVE ADDITIONAL TRAINING IN ORDER TO PREVENT FUTURE INCIDENTS.,No,No,No,No,No,No,No,No,No
Paper,No,I-1992030648,BAYWOOD EXPRESS  INC,37TH & O STS NW,WASHINGTON,DC,02/20/1992,1400,15,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,5005,SPEEDWAY LLC,BALTIMORE,MARYLAND,Highway,,,,8300,LGA,1,1,,,,,,,,,,DRIVER INADVERTENTLY CLOSED VALVE AT TANK AND BEGAN UNLOADING; HOSE DEVELOPED LEAK FROM PRESSURE AND SMALL AMOUNT OF PRODUCT SPRAYED ONTO GROUND.  SPILL WAS CONTAINED AND CLEAN-UP CONTRACTOR ASSISTED IN CLEAN-UP OF RELEASE.  ALL NECESSARY REGULATORY AGENCIES WERE NOTIFIED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1989020459,GRIFFITH CONSUMERS CO,,WASHINGTON,DC,02/17/1989,,3,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH CONSUMERS CO,CHEVERLY,MARYLAND,Highway,,,,3000,LGA,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Web,No,E-2016030460,UNITED AIRLINES  INC.,,WASHINGTON,DC,03/21/2016,1200,0,,UN3480,LITHIUM ION BATTERIES INCLUDING LITHIUM ION POLYMER BATTERIES,MISCELLANEOUS HAZARDOUS MATERIAL,0,0,0,0,M & B HOLDING CORP.,WOODSIDE,NEW YORK,Air,NONE,Fiberboard,Box,,,,,,,,,,,,,,Cargo Screening detected an irregularity on a shipment identified as Files/Documents.  When opened for inspection  the inspecting agent found 10 laptop batteries.,No,No,No,No,No,No,No,No,No
